projectId;projectName;sample_id;sourceId;particId
6;Passion, Families;35770;F362-3;F362-3
6;Passion, Families;35773;F372-3;F372-3
6;Passion, Families;35777;F377-3;F377-3
6;Passion, Families;35783;F382-3;F382-3
6;Passion, Families;35799;F405-3;F405-3
6;Passion, Families;35808;F412-3;F412-3
6;Passion, Families;35816;F415-3;F415-3
6;Passion, Families;35825;F416-4A;F416-4A
6;Passion, Families;35831;F4-2;F4-2
6;Passion, Families;35833;F421-3;F421-3
6;Passion, Families;35842;F426-3;F426-3
6;Passion, Families;35849;F430-3;F430-3
6;Passion, Families;35853;F434-3;F434-3
6;Passion, Families;35858;F4-4;F4-4
6;Passion, Families;35863;F463-3;F463-3
6;Passion, Families;35867;F464-3;F464-3
6;Passion, Families;35868;F466-3;F466-3
6;Passion, Families;35874;F468-3;F468-3
6;Passion, Families;35880;F472-3;F472-3
6;Passion, Families;35888;F47-4;F47-4
6;Passion, Families;35891;F479-3;F479-3
6;Passion, Families;35905;F493-3;F493-3
6;Passion, Families;35910;F495-3;F495-3
6;Passion, Families;35912;F505-3;F505-3
6;Passion, Families;35915;F5-1;F5-1
6;Passion, Families;35919;F510-4;F510-4
6;Passion, Families;35921;F511-3;F511-3
6;Passion, Families;35928;F513-3;F513-3
6;Passion, Families;35932;F516-3;F516-3
6;Passion, Families;35940;F522-3;F522-3
6;Passion, Families;35946;F524-3;F524-3
6;Passion, Families;35951;F525-3;F525-3
6;Passion, Families;35955;F526-3;F526-3
6;Passion, Families;35958;F527-3;F527-3
6;Passion, Families;35963;F528-3;F528-3
6;Passion, Families;35964;F530-3;F530-3
6;Passion, Families;35967;F53-1;F53-1
6;Passion, Families;35977;F531-3;F531-3
6;Passion, Families;36011;F532-3;F532-3
6;Passion, Families;36013;F53-23A;F53-23A
6;Passion, Families;36043;F533-3;F533-3
6;Passion, Families;36048;F534-3;F534-3
6;Passion, Families;36052;F535-3;F535-3
6;Passion, Families;36055;F537-3;F537-3
6;Passion, Families;36058;F539-3;F539-3
6;Passion, Families;36063;F540-3;F540-3
6;Passion, Families;36069;F54-1;F54-1
6;Passion, Families;36071;F541-3;F541-3
6;Passion, Families;36076;F549-3;F549-3
6;Passion, Families;36083;F550-3;F550-3
6;Passion, Families;36109;F557-3;F557-3
6;Passion, Families;36112;F575-3;F575-3
6;Passion, Families;36113;F576-3;F576-3
6;Passion, Families;36114;F579-3;F579-3
6;Passion, Families;36115;F58-2;F58-2
6;Passion, Families;36117;F582-3;F582-3
6;Passion, Families;36122;F586-3;F586-3
6;Passion, Families;36123;F587-3;F587-3
6;Passion, Families;36124;F589-3;F589-3
6;Passion, Families;36128;F600-3;F600-3
6;Passion, Families;36141;F601-3;F601-3
6;Passion, Families;36146;F60-2;F60-2
6;Passion, Families;36152;F603-3;F603-3
6;Passion, Families;36155;F604-3;F604-3
6;Passion, Families;36160;F605-3;F605-3
6;Passion, Families;36167;F606-3;F606-3
6;Passion, Families;36175;F610-3;F610-3
6;Passion, Families;36177;F615-3;F615-3
6;Passion, Families;36183;F616-3;F616-3
6;Passion, Families;36187;F6-2;F6-2
6;Passion, Families;36209;F73-3;F73-3
6;Passion, Families;36217;F77-2;F77-2
6;Passion, Families;36245;F92-2;F92-2
6;Passion, Families;36251;F99-2;F99-2
6;Passion, Families;36259;HO8;HO8
6;Passion, Families;36260;HO13;HO13
6;Passion, Families;36262;HO9;HO9
6;Passion, Families;70162;1429-2;1429-2
6;Passion, Families;135267;F36-5;6xF36-5
6;Passion, Families;135269;F4-3;6xF4-3
41;ASP amplif.;1329;1021;41x1021
41;ASP amplif.;1582;1055;41x1055
41;ASP amplif.;3534;1189-1;41x1189-1
41;ASP amplif.;3536;1189-2;41x1189-2
41;ASP amplif.;3538;1189-3;41x1189-3
41;ASP amplif.;3540;1189-4;41x1189-4
41;ASP amplif.;3543;1189-5;41x1189-5
41;ASP amplif.;3546;1189-6;41x1189-6
41;ASP amplif.;4314;1300-2;41x1300-2
41;ASP amplif.;4316;1300-3;41x1300-3
41;ASP amplif.;4318;1300-4;41x1300-4
41;ASP amplif.;4321;1300-5;41x1300-5
41;ASP amplif.;4323;1300-6;41x1300-6
41;ASP amplif.;4961;1392-1;41x1392-1
41;ASP amplif.;4963;1392-2;41x1392-2
41;ASP amplif.;4966;1392-3;41x1392-3
41;ASP amplif.;4969;1392-4;41x1392-4
41;ASP amplif.;4972;1392-5;41x1392-5
41;ASP amplif.;4974;1392-6;41x1392-6
41;ASP amplif.;4978;1392-S1;41x1392-S1
41;ASP amplif.;4979;1392-S2;41x1392-S2
41;ASP amplif.;7550;30100-3;41x30100-3
41;ASP amplif.;7565;30146-4;41x30146-4
41;ASP amplif.;7574;30165-4;41x30165-4
41;ASP amplif.;7578;30179-9;41x30179-9
41;ASP amplif.;7589;30208-7;41x30208-7
41;ASP amplif.;7624;30323-;41x30323-
41;ASP amplif.;7635;30371-7;41x30371-7
41;ASP amplif.;7647;30414-5;41x30414-5
41;ASP amplif.;7678;30528;41x30528
41;ASP amplif.;7728;30716-2;41x30716-2
41;ASP amplif.;7754;30812-2;41x30812-2
41;ASP amplif.;7771;30887-5;41x30887-5
41;ASP amplif.;7774;30898-7;41x30898-7
41;ASP amplif.;7810;31021-1;41x31021-1
41;ASP amplif.;7818;31067-3;41x31067-3
41;ASP amplif.;7823;31084-4;41x31084-4
41;ASP amplif.;7832;31124-5;41x31124-5
41;ASP amplif.;7877;31339-7;41x31339-7
41;ASP amplif.;7946;31686-6;41x31686-6
41;ASP amplif.;7960;31730-8;41x31730-8
41;ASP amplif.;7986;31867-1;41x31867-1
41;ASP amplif.;8041;32156-4;41x32156-4
41;ASP amplif.;8060;32252-2;41x32252-2
41;ASP amplif.;8102;32465-0;41x32465-0
41;ASP amplif.;8106;32483-6;41x32483-6
41;ASP amplif.;8112;32505-2;41x32505-2
41;ASP amplif.;8139;32641-0;41x32641-0
41;ASP amplif.;8158;32752-8;41x32752-8
41;ASP amplif.;8161;32763-3;41x32763-3
41;ASP amplif.;8235;33194-5;41x33194-5
41;ASP amplif.;8324;33698-9;41x33698-9
41;ASP amplif.;8363;33921-4;41x33921-4
41;ASP amplif.;8368;33949-9;41x33949-9
41;ASP amplif.;8376;33992-3;41x33992-3
41;ASP amplif.;8388;34003-8;41x34003-8
41;ASP amplif.;8396;34051-0;41x34051-0
41;ASP amplif.;8425;34227-9;41x34227-9
41;ASP amplif.;8435;34283-6;41x34283-6
41;ASP amplif.;8449;34349-2;41x34349-2
41;ASP amplif.;8458;34404-9;41x34404-9
41;ASP amplif.;8477;34521-2;41x34521-2
41;ASP amplif.;8482;34555-0;41x34555-0
41;ASP amplif.;8527;34836-6;41x34836-6
41;ASP amplif.;8547;34933-9;41x34933-9
41;ASP amplif.;8602;35309-0;41x35309-0
41;ASP amplif.;8604;35310-1;41x35310-1
41;ASP amplif.;8607;35336-0;41x35336-0
41;ASP amplif.;8609;35346-9;41x35346-9
41;ASP amplif.;10555;5018;41x5018
41;ASP amplif.;10574;5027;41x5027
41;ASP amplif.;10577;5028;41x5028
41;ASP amplif.;13865;5182;41x5182
41;ASP amplif.;14357;5187;41x5187
41;ASP amplif.;25815;641-1;41x641-1
41;ASP amplif.;25818;641-2;41x641-2
41;ASP amplif.;25821;641-3;41x641-3
41;ASP amplif.;25825;641-4;41x641-4
41;ASP amplif.;25827;641-5;41x641-5
41;ASP amplif.;25829;641-6;41x641-6
41;ASP amplif.;25832;641-7;41x641-7
41;ASP amplif.;25834;641-8;41x641-8
41;ASP amplif.;25836;641-9;41x641-9
41;ASP amplif.;27070;768-1;41x768-1
41;ASP amplif.;27073;768-2;41x768-2
41;ASP amplif.;27075;768-3;41x768-3
41;ASP amplif.;27077;768-4;41x768-4
41;ASP amplif.;27080;768-5;41x768-5
41;ASP amplif.;27083;768-6;41x768-6
41;ASP amplif.;27086;768-7;41x768-7
41;ASP amplif.;35341;F106-0;41xF106-0
41;ASP amplif.;35344;F106-2;41xF106-2
41;ASP amplif.;35346;F106-4;41xF106-4
41;ASP amplif.;35348;F106-5;41xF106-5
41;ASP amplif.;35350;F106-6;41xF106-6
41;ASP amplif.;35352;F106-7;41xF106-7
41;ASP amplif.;35354;F106-8;41xF106-8
41;ASP amplif.;35356;F106-9;41xF106-9
41;ASP amplif.;35366;F1-1;41xF1-1
41;ASP amplif.;35368;F110-1;41xF110-1
41;ASP amplif.;35371;F110-11;41xF110-11
41;ASP amplif.;35372;F110-2;41xF110-2
41;ASP amplif.;35374;F110-3;41xF110-3
41;ASP amplif.;35376;F110-4;41xF110-4
41;ASP amplif.;35378;F110-5;41xF110-5
41;ASP amplif.;35380;F110-6;41xF110-6
41;ASP amplif.;35382;F110-8;41xF110-8
41;ASP amplif.;35384;F113-2;41xF113-2
41;ASP amplif.;35386;F113-4;41xF113-4
41;ASP amplif.;35388;F113-5;41xF113-5
41;ASP amplif.;35390;F113-6;41xF113-6
41;ASP amplif.;35392;F113-8;41xF113-8
41;ASP amplif.;35394;F114-2;41xF114-2
41;ASP amplif.;35395;F114-5;41xF114-5
41;ASP amplif.;35412;F1-2;41xF1-2
41;ASP amplif.;35421;F1-21;41xF1-21
41;ASP amplif.;35423;F12-1;41xF12-1
41;ASP amplif.;35425;F12-101;41xF12-101
41;ASP amplif.;35426;F12-102;41xF12-102
41;ASP amplif.;35427;F12-11;41xF12-11
